"currentPage value %1 specified is greater than the %2 page(s) available.","currentPage value %1 specified is greater than the %2 page(s) available."
"currentPage value must be greater than 0.","currentPage value must be greater than 0."
"pageSize value must be greater than 0.","pageSize value must be greater than 0."
"The module is disabled","The module is disabled"
"Question is added successfully","Question is added successfully"
"Content question value must be not empty.","Content question value must be not empty."
"Product Id value must be integer.","Product Id value must be integer."
"Email has a wrong format","Email has a wrong format"
"Does not exist product with Id is %1","Does not exist product with Id is %1"
